Slovenian,English
je,it is
v,in
in,and
na,on
se,you
so,they are
za,for
da,yes
ki,which
pa,well
tudi,also
z,with
s,with
bo,will be
še,yet
bi,would
po,after
ne,no
kot,like
V,V
od,from
ni,it is not
do,to
lahko,you can
bodo,they will
iz,from
pri,at
že,already
o,o
to,this
med,honey
tako,like that
jih,them
več,more
tem,these
ko,when
ali,or
zaradi,because of
bilo,was
ga,Mrs
bil,was
kar,right
pred,before
naj,should
Na,On
ob,at
smo,we are
leta,years
vse,everything
bila,was
sem,I am
si,you are
sicer,otherwise
sta,they are
ter,and
saj,because
le,only
jo,her
danes,today
a,a
nekaj,something
Po,After
tega,of this
evrov,euros
zelo,very much
zato,therefore
niso,they are not
ljudi,people
kjer,where
bolj,more
zdaj,now
ker,because
ta,this one
Za,For
bili,were
proti,against
če,if
veliko,a lot
vedno,always
Kot,Like
drugi,others
brez,without
Sloveniji,Slovenia
dan,day
kako,how
koronavirusa,coronavirus
namreč,namely
prav,right
glede,regarding
mu,him
let,year
okužb,infections
To,This
ima,has
nas,us
k,k
bomo,we will
svoje,your own
vseh,everyone
najbolj,the most
kaj,what
jim,to them
pod,under
Če,If
dejal,said
treba,need to
Tudi,Also
predvsem,above all
času,time
dobro,good
gre,it goes
svetu,the world
Slovenije,of Slovenia
imajo,they have
novega,the new one
okoli,around
oziroma,respectively
zadnjih,the last ones
dela,works
delo,work
drugih,others
države,of the country
mi,we
samo,only
koronavirusom,coronavirus
leto,year
prvi,the first
ukrepov,measures
strani,pages
letih,years
A,A
biti,to be
odstotkov,percent
Pri,At
dni,days
število,number
skupaj,together
čas,time
Med,Med
doma,at home
pravi,he says
Z,Z
nam,us
del,part
manj,less
epidemije,epidemics
te,these
celo,even
dneh,days
nato,then
novih,new ones
potrdili,confirmed
tri,three
Slovenija,Slovenia
covida,covid
morali,morality
Ko,When
letos,this year
povedal,told
teh,those
ampak,but
dva,two
skoraj,almost
svojo,your own
In,And
lani,last year
teden,week
drugim,to others
milijonov,million
vendar,however
vlada,government
dve,two
novim,new ones
Ne,No
S,S
potem,then
vlade,governments
vsi,everyone
časa,time
Tako,Like that
državi,the country
Ob,Ob
mestu,place
nad,above
dveh,two
predsednik,the president
Ta,This one
druge,others
letu,year
me,me
mesto,city
okužbe,infections
zdravje,health
ZDA,USA
koncu,the end
vsaj,at least
mogoče,maybe
prej,earlier
katerem,which
mora,must
imel,had
težko,difficult
besedah,words
novo,new
primer,example
Zaradi,Because of
minister,minister
trenutno,currently
Ljubljana,Ljubljana
dovolj,enough
ljudje,people
sploh,at all
takrat,at that time
imeli,had
morajo,they have to
Da,Yes
ji,her
okuženih,infected
Ker,Because
ena,one
konca,the end
konec,the end
leti,years
naprej,forward
pet,Friday
res,true
bile,were
malo,a little
spet,again
zgolj,merely
Še,More
držav,countries
nove,new ones
primeru,example
sporočili,communicated
svojih,of their own
hitro,quickly
imela,had
način,way
ste,you are
tam,there
vsak,everyone
znova,again
Prav,Right
maja,in May
otrok,a child
precej,quite a lot
marca,in March
približno,approximately
vsem,to everyone
EU,EU
boste,you will
katerih,whose
niti,not even
oseb,persons
veè,more
pandemije,pandemics
pomeni,means
primerov,cases
velja,is valid
štiri,four
Od,From
Zato,That's why
dodal,added
eden,one
milijona,million
možnosti,options
njimi,them
novi,new ones
povsem,completely
katere,which
največ,maximum
bolnikov,patients
delu,work
kljub,despite
svojega,your own
toliko,so much
ukrepe,measures
ukrepi,measures
zadnjem,the last one
čeprav,although
Slovenijo,Slovenia
bolezni,diseases
deset,ten
seveda,of course
tedna,week
temu,to this
življenje,life
Pred,Before
kateri,which one
kaže,shows
podjetja,companies
stranke,customers
šest,six
država,country
en,one
morda,maybe
njih,them
pomembno,important
prek,via
skupine,groups
slovenski,Slovenian
sredo,Wednesday
točk,points
začetku,beginning
šele,just now
Kljub,Despite
eno,one
sam,alone
soboto,Saturday
svet,world
tisti,those
uspelo,succeeded
zakona,of the law
moral,morality
nedeljo,Sunday
tej,this one
tokrat,this time
treh,three
želijo,they want
Poleg,Besides
dolgo,a long time
naše,ours
odločitev,decision
petek,Friday
pojasnil,explained
pomoč,help
sodišče,the court
stanje,condition
torej,therefore
virusa,virus
zaposlenih,employees
Vse,Everything
dejavnosti,activities
doslej,so far
enega,one
jasno,clear
medtem,meanwhile
nov,Nov
oblasti,authorities
odstotka,percent
poleg,besides
sami,themselves
sezone,season
sezoni,season
slovenske,Slovenian
svoj,own
takoj,immediately
zdravstvene,medical
covidom,covid
nekaterih,of some
pol,half
posebej,especially
pot,path
prvo,the first
torek,Tuesday
življenja,life
Glede,Regarding
Hrvaškem,Croatia
Vlada,Government
drugo,another
mesta,cities
nič,nothing
njegovih,his
skozi,through
svojem,his own
ves,all
začela,started
širjenja,expansion
Že,Already
imamo,we have
katerega,which
koronavirus,coronavirus
mesecih,months
postal,became
poti,paths
predsednika,the president
prve,the first
ure,hours
vam,to you
včeraj,yesterday
čez,across
O,O
bosta,they will be
direktor,director
dobil,got
ministrstva,ministries
močno,strongly
najprej,first of all
njegov,his
opreme,equipment
sistem,system
vprašanje,question
Je,It is
covid,covid
junija,in June
mnenju,opinion
nikoli,never
nima,doesn't have
podatkih,data
ponedeljek,Monday
slovenskih,Slovenian
začel,started
Kranj,Kranj
domov,home
hkrati,at the same time
katero,which one
nimajo,they don't have
sveta,of the world
tekmi,matches
zadnji,the last one
četrtek,Thursday
Iz,From
Potem,Then
drugega,another
eni,one
javno,publicly
kdo,who
lige,league
nekoliko,somewhat
njem,him
njim,to them
obdobju,period
omejitev,limitation
pomoči,help
ponovno,again
prva,the first
točke,points
uri,hours
šlo,it went
Trump,Trump
Vsi,Everyone
decembra,in December
domu,home
kasneje,later
kažejo,they show
kdaj,when
kilometrov,kilometers
koliko,how much
maske,masks
njegovo,his
področju,area
posebno,special
poudaril,emphasized
prihodnje,the future
prvem,the first
razmere,conditions
septembra,in September
sto,a hundred
tekmo,match
začeli,started
denarja,of money
dr,dr
nekatere,some
njegova,his
območju,area
ostaja,remains
ravno,flat
razmerah,conditions
sedem,seven
temveč,rather
ti,you
umrlo,died
vas,village
zmago,victory
želi,wants
Ljubljani,Ljubljana
agencija,agency
dodatno,additionally
izmed,of
naših,ours
obeh,both
opravili,completed
osebe,persons
podlagi,basis
prostor,space
skrbi,worries
stvari,things
težav,problems
težave,problems
tu,here
zvečer,in the evening
čim,as soon as possible
šole,schools
štirih,four
Ali,Or
Do,Until
Gre,It goes
NIJZ,NIJZ
bom,i will
drugem,to another
javnost,the public
ligi,league
moramo,we have to
najboljši,the best
napovedal,announced
nazaj,back
osem,eight
otroke,children
podobno,similarly
poroča,reports
povedala,she said
priložnost,opportunity
prišli,came
različnih,different
sedaj,now
tiste,those
tistih,those
uro,an hour
Kaj,What
Kako,How
Zdaj,Now
aprila,in April
dejala,she said
dobili,get
drugače,differently
enem,one
izjemno,exceptionally
januarja,in January
julija,in July
ministrstvu,the ministry
nekateri,some of them
nisem,I didn't
okužbo,infection
podatkov,data
policija,the police
sezono,season
sporočila,messages
verjetno,probably
voljo,willing
vozil,vehicles
vsako,every one
župan,the mayor
Evropi,Europe
ekipe,teams
evropske,European
katerimi,which
mask,masks
metrov,meters
najmanj,the least
njihovo,theirs
nujno,urgently
občini,municipality
oktobra,in October
organizacije,organizations
pojasnila,explanations
popolnoma,completely
prvič,for the first time
skupnosti,community
sredi,in the middle
urah,hours
zdi,it seems
Danes,Today
Maribor,Maribor
bistveno,essential
celoti,entirely
cesti,road
meni,me
našli,found
opozoril,warned
položaj,position
pravijo,they say
prebivalcev,of inhabitants
pripravili,prepared
prvih,the first ones
ravni,levels
razvoj,development
skupno,total
spremembe,changes
svoji,own
tekme,matches
Prvi,The first
aktivnosti,activities
daljavo,far away
družbe,companies
državni,national
imam,i have
krize,crises
njegovi,his
njihove,theirs
nova,new
opozarjajo,warn
podjetje,company
policisti,police officers
poročajo,they report
smrti,of death
sporočil,messages
sredstev,funds
svojim,their own
trije,three
ur,ed
velika,big
šport,sport
delajo,they work
deluje,it works
enako,the same
javnosti,to the public
jutri,tomorrow
katerim,which
mesec,month
mesecev,months
milijard,billions
možnost,option
nismo,we didn't
postala,became
prvakov,champions
sodelovanju,cooperation
sredstva,funds
svetovni,global
tiskovna,printing press
višini,height
vodi,leads
zakaj,why
zaščitne,protective
zjutraj,in the morning
želeli,wanted
Italiji,Italy
Leta,Years
avgusta,in August
cepiva,vaccines
denimo,for example
dnevu,day
druga,the second
drugimi,others
družine,families
igre,games
meje,borders
ministrstvo,ministry
morala,morality
nadzor,control
največji,the biggest
njegovem,his
njihova,theirs
običajno,usually
ostali,the rest
podatke,data
podporo,support
pogosto,often
policije,of the police
potrebuje,needs
primerih,cases
sebi,to himself
skupini,group
sledi,follows
smeri,directions
starejše,older ones
tednih,weeks
trgu,the market
uporabo,use
velik,big
vrata,door
zagotovo,for sure
zapisali,wrote down
zvezi,connection
čaka,he is waiting
številne,numerous
življenju,life
žrtev,victim
Janša,Janša
SDS,SDS
Toda,But
Trenutno,Right now
UKC,UCC
agencije,agencies
bolnišnici,hospital
dlje,longer
dnevi,days
dobre,good ones
domovih,homes
dosegel,achieved
državah,countries
državo,country
enkrat,once
februarja,in February
gospodarstvo,economy
gradnjo,construction
informacije,information
ju,them
lepo,nice
milijarde,billions
more,can
njej,to her
očitno,obviously
postopka,procedure
predstavlja,represents
premier,prime minister
preveč,too much
rok,deadline
roke,hands
sebe,yourself
sistema,system
starejših,older people
večinoma,mostly
večje,bigger
zapisal,wrote down
zgodilo,happened
Čeprav,Although
čemer,which
številnih,many
želel,wanted
Medtem,Meanwhile
SMC,SMC
Več,More
boju,fight
bolje,better
dobrih,good ones
dolarjev,dollars
ekipa,the team
evropskih,European ones
gibanja,movements
hiše,houses
hrane,food
konferenci,conference
ministra,of the minister
minut,minutes
navedbah,statements
naši,ours
njeno,hers
opozarja,warns
otroci,children
petih,five
podjetij,companies
prišel,came
prišlo,came
projekt,project
prvega,the first
rešitev,the solution
skupina,group
službe,services
spletni,online
stran,away
tekmovanja,competitions
tretji,the third
večkrat,several times
vrnili,returned
zadeve,matters
zakon,the law
zveze,connections
števila,numbers
Nemčiji,Germany
Pa,Well
Policisti,Cops
Tam,There
Ti,You
Vendar,However
centra,center
delovanje,operation
dvema,two
epidemijo,an epidemic
karanteni,quarantine
kmalu,soon
medijev,media
mož,husband
nami,us
nihče,nobody
njenih,hers
obdobje,period
ogled,viewing
opozorila,warnings
otroka,the child
povedali,told
predlog,proposal
prišla,she came
promet,traffic
prostora,space
razen,except
razmer,conditions
sama,alone
starši,parents
storitev,service
sva,we are
uradno,officially
varnost,security
vodstvo,leadership
vseeno,anyway
zdravstvenih,medical
zlasti,in particular
znano,known
AFP,AFP
Nato,Then
New,New
Policija,The police
Slovencev,Slovenians
bolnišnicah,hospitals
bolnišnice,hospitals
današnji,today's
dom,home
družbi,to society
družbo,society
družino,family
glavni,the main one
izobraževanje,education
javnih,public
kakšen,what kind
kje,where
letošnji,this year's
masko,the mask
moči,power
njegove,his
njen,hers
odvisno,it depends
okolju,the environment
pogodbe,contracts
pomemben,important
pomočjo,help
posledice,consequences
poteka,is taking place
potrebno,necessary
prava,right
prihodnjih,future ones
seboj,with each other
stopinj,degrees
ukrep,measure
vasi,villages
velike,big ones
videti,to see
virus,virus
visoko,high
vladi,to the government
vodja,the leader
volitve,elections
vozila,vehicles
zahteva,request
zaposleni,employed
znotraj,inside
ženske,women
Lahko,You can
Predsednik,President
Seveda,Of course
Takrat,At that time
Veliko,A lot
boj,fight
delež,share
delovanja,operation
dobila,got
dogaja,happening
hiši,to the house
hišo,the house
igralcev,players
kakšno,what kind
kluba,club
kulturo,culture
lažje,easier
mediji,the media
naš,ours
nekdanji,the former
novem,new
novembra,in November
območje,area
oceni,evaluate
odločila,decided
okviru,framework
poročanju,reporting
potrebne,necessary
preden,before
prejšnji,the previous one
preko,via
preteklih,of the past
rezultate,the results
seji,sessions
skladu,to the fund
skupin,groups
slabo,bad
tak,like that
testov,tests
tisoč,thousand
vendarle,however
večji,bigger
vidi,see
vodil,led
vsega,everything
zabeležili,recorded
zapisala,wrote down
začetka,of the beginning
zunaj,outside
česar,what
šestih,six
želimo,we want
Kar,What
Kranju,Kranj
Ni,It didn't
blizu,near
cilj,goal
dejanja,actions
delovnih,working
devet,nine
